LATITUDE,LONGITUDE
-12.471947,130.845073
-33.756158,150.698182
-28.77766,114.63426
-12.464597,130.840708
-39.5964,143.9339
-28.913583,153.320278
-32.67373,152.183366
-33.554239,150.733037
-36.416261,143.611158
-33.315074,115.726263
-33.307414,115.734614
-33.357333,115.624897
-28.687008,153.523194
-31.540083,116.372957
-31.549951,116.453282
-33.831142,115.106278
-33.629218,115.091635
-27.806743,152.640874
-23.358303,120.780766
-28.074596,152.856728
-33.864266,121.877509
-37.814712,144.974322
-37.65123,144.959774
-38.229606,146.414233
-38.195525,146.561853
-33.7187,150.8341
-37.8109,144.9371
-37.916514,145.038261
-33.7876,150.8815
-37.9192,145.3463
-37.6905,145.0248
-33.947875,150.899139
-37.574405,144.92044
-33.861242,151.208261
-33.86904,151.20695
-33.879819,151.205344
-33.885622,151.206908
-33.889967,151.217889
-33.907164,151.226875
-33.917272,151.241247
-33.915572,151.225783
-33.925697,151.230031
-33.874169,151.164822
-33.879589,151.14725
-33.889294,151.145194
-33.910111,151.234939
-37.857886,144.789906
-37.805036,144.932034
-37.416821,145.005337
-38.103396,147.054383
-30.775337,121.441999
-12.630833,141.880833
-31.955191,115.876073
-31.933208,115.866616
-19.26238,146.8108
-31.993652,115.940879
-31.686222,115.736681
-37.852314,144.607033
-27.679672,150.913331
-20.229167,140.139444
-33.725488,150.987883
-37.842539,145.26947
-33.235042,151.421588
-37.963172,145.127531
-19.257958,146.733961
-19.25715,146.734078
-19.256447,146.734242
-31.901051,115.917644
-34.451747,150.842883
-27.505903,152.983242
-33.443494,151.328519
-26.778261,150.690619
-35.292928,148.211089
-35.193465,149.149879
-16.509786,145.461872
-34.268577,146.031738
-28.705778,151.787078
-36.884244,144.210728
-27.80145,153.2486
-38.04036,145.21577
-38.03522,145.19963
-36.355026,146.323689
-36.36583,146.304625
-32.551439,151.207428
-33.719478,150.916725
-28.364497,116.668647
-37.8222,144.9661
-36.501472,148.309767
-19.258867,146.815202
-33.912798,151.2118
-37.801719,144.735611
-37.975073,144.349602
-37.816491,144.969434
-27.758156,153.232214
-27.7917,152.72621
-38.248652,144.605442
-27.69124,152.74406
-37.55806,144.86984
-37.40485,144.7612
-35.310654,149.1899
-32.31203,115.853733
-22.905925,118.922478
-12.387858,130.851172
-38.17653,146.26095
-31.442777,116.076959
-31.921019,115.869778
-34.960675,138.546775
-34.920567,138.627894
-31.660009,115.740157
-31.848787,116.064938
-31.90191,152.53354
-12.538495,130.919425
-27.98628,153.410894
-31.951078,115.889069
-34.036375,150.76302
-27.508549,152.971234
-27.801404,153.248339
-27.829237,153.29689
-27.824605,153.328912
-27.91047,153.2681
-27.721064,153.164475
-27.889897,153.366495
-37.663983,145.00737
-27.420085,153.036127
-33.726148,150.98203
-31.898053,152.458595
-27.301312,153.016877
-27.476389,153.0169
-35.270927,149.134183
-35.271935,149.132599
-37.819175,145.121139
-34.92258,138.616404
-37.914,145.132754
-38.382962,142.481536
-16.481053,145.422038
-31.956417,115.845242
-31.278384,119.367979
-37.8189,144.9751
-33.963767,151.223457
-37.799525,144.953431
-27.471337,153.028472
-27.471498,153.028268
-31.949303,115.863829
-36.796783,146.696959
-29.965053,138.046403
-33.233033,135.203321
-27.431569,153.032556
-27.931735,153.394585
-32.250277,115.944768
-32.321417,116.00283
-27.74811,153.08441
-37.685169,144.461871
-27.72451,153.29724
-27.8396,153.11489
-38.06505,144.31321
-36.3814,145.3981
-37.823926,145.294709
-32.19291,115.97139
-32.187796,115.879435
-32.19445,115.91633
-32.173579,115.897624
-32.21542,115.95081
-32.03351,116.124627
-32.412046,115.804574
-32.376489,115.814226
-35.230622,138.778027
-35.189136,138.837274
-35.111937,139.034933
-35.074294,139.018679
-35.143418,138.886443
-33.36302,151.29404
-35.277556,149.114147
-27.482915,153.000396
-37.9661,145.0564
-37.39875,144.8839
-33.27049,151.38682
-33.51751,150.69344
-38.390265,145.088217
-38.256158,145.10479
-38.34,145.081063
-38.33551,145.11954
-38.27529,145.13643
-37.96161,145.3609
-38.032015,145.401169
-38.20571,145.18419
-38.23672,145.23306
-38.17702,145.2548
-38.14076,145.42484
-38.16073,145.26126
-38.38987,145.01965
-38.40334,144.86427
-27.632431,153.252804
-37.72855,145.222007
-27.648474,153.305469
-31.946559,115.852534
-33.770925,151.078101
-33.904697,151.200484
-13.624853,131.456751
-36.894922,144.803436
-27.486331,152.993951
-26.657943,150.657824
-34.860449,146.920003
-32.545223,137.718623
-32.98157,121.6444
-35.02197,149.87236
-37.787878,145.113122
-33.874539,151.207689
-26.960401,150.477901
-33.120501,148.957301
-29.502801,153.201201
-28.470468,153.518914
-42.812265,147.245496
-43.030524,147.048934
-41.19808,147.53018
-41.30509,147.017546
-26.70656,152.94919
-26.54785,153.01418
-26.57672,152.94514
-26.58863,153.00966
-26.60806,152.88304
-26.59102,152.91189
-26.71,153.01285
-26.67285,152.99753
-26.44431,153.04512
-26.45485,153.01315
-26.62655,152.89194
-33.796412,151.139463
-27.831996,152.713017
-27.81112,152.6765
-27.53101,152.7231
-27.7432,152.70847
-27.52709,152.74382
-27.889463,152.639444
-21.148912,148.721528
-28.321386,153.354424
-32.135394,115.92428
-19.573954,147.397313
-32.208152,115.809933
-28.243222,153.371089
-34.70022,150.10222
-28.76348,153.27072
-37.67658,144.57011
-37.40944,144.58297
-27.689563,153.211644
-32.548485,115.703059
-41.579344,148.182319
-42.380311,147.290553
-34.475431,150.913186
-30.037075,120.66805
-37.798,144.9679
-36.70694,144.31703
-24.182717,151.236237
-12.4605,130.96489
-28.645465,153.613883
-34.860214,150.508392
-37.1924,140.889014
-22.514006,132.754236
-33.878681,151.210173
-26.20426,152.44295
-27.78632,153.36421
-34.943738,138.588649
-35.359869,138.820048
-37.542865,145.104367
-37.46631,145.07394
-37.48828,145.16531
-32.503014,115.764221
-31.503369,116.053567
-31.495066,116.405186
-31.79838,116.308691
-31.768751,116.373023
-31.795572,116.341474
-33.56306,150.20069
-36.89628,149.91335
-36.88764,149.92625
-36.8861,149.89722
-32.016675,115.936527
-37.811099,144.857783
-32.926,151.76453
-24.81448,152.222778
-28.169722,153.515278
-37.813418,144.967861
-34.845313,138.560571
-37.684152,144.948506
-27.469643,153.09498
-27.77233,152.97818
-27.8076,153.09282
-27.80138,153.05444
-27.80109,153.03281
-27.82179,153.08623
-27.78241,153.04282
-27.83854,152.99878
-27.909944,153.070513
-27.83341,153.0587
-27.893003,152.931526
-27.90282,153.03103
-38.028573,144.345439
-37.9742,144.14309
-31.952744,115.849167
-37.87594,144.6801
-23.84144,151.2469
-27.591043,152.87531
-12.396254,130.903874
-34.687405,138.740317
-34.654471,138.872143
-34.708842,138.561055
-34.47169,138.68752
-34.674873,138.568744
-34.654863,138.771323
-34.610675,138.836717
-34.537613,138.753437
-34.724066,138.768676
-34.590092,138.599411
-34.731952,138.800172
-34.60133,138.91545
-27.632556,152.698556
-31.67072,116.257399
-31.758842,116.247806
-31.687903,116.314608
-31.827192,116.250782
-31.868269,116.183015
-31.902114,116.219045
-31.860314,115.984962
-31.80684,116.058082
-31.826376,116.017926
-27.693798,153.150435
-27.208505,152.988758
-41.539468,147.173956
-38.11,145.2819
-33.866807,151.207134
-33.874087,151.164016
-37.809387,144.919341
-36.179733,146.946303
-36.139683,146.894119
-28.0178,153.4299
-29.306817,115.092972
-37.9158,145.0608
-27.62997,153.09508
-18.882419,118.871016
-34.832863,138.569488
-34.779494,138.595204
-34.80796,138.596896
-34.81674,138.598028
-26.63087,120.25151
-32.98712,151.671296
-37.671011,144.84998
-33.918223,151.189052
-37.815917,145.258583
-28.472028,153.518031
-34.192732,142.167869
-38.305111,145.186112
-37.7626,144.9619
-28.067858,117.844671
-32.5344,115.7187
-31.958963,115.920074
-27.564285,152.996834
-41.31553,147.37228
-41.38258,147.29978
-41.87357,146.82809
-43.24026,147.10193
-33.870905,150.957675
-27.542505,153.073407
-34.712774,138.57607
-34.74061,138.5855
-33.153178,148.169914
-36.10223,150.04632
-28.582723,153.161479
-33.710091,151.295176
-28.693321,150.320071
-33.76489,151.015021
-33.7101,151.29573
-35.312463,148.064272
-36.904439,149.236728
-36.974128,147.139385
-37.825152,144.949188
-37.680333,145.070431
-37.80597,144.997883
-33.844181,151.040499
-33.85521,151.162714
-27.929603,153.387342
-27.531418,152.947921
-27.415232,153.079753
-33.775158,151.012331
-20.37413,118.58628
-36.428361,145.396022
-27.499917,153.4533
-19.649278,134.190303
-30.32225,153.116472
-28.837389,153.556333
-27.543127,153.239044
-36.580854,149.108037
-19.878417,146.633056
-23.132341,150.736853
-18.9991,144.98033
-27.426134,152.988367
-21.091478,149.210174
-37.874411,144.67845
-37.873706,145.234678
-37.801188,145.286355
-37.9887,145.2439
-33.623559,150.813835
-33.518764,145.443005
-37.8367,144.9668
-27.24241,153.0157
-33.88704,151.2291
-34.92286,138.6048
-33.87188,151.0918
-33.62686,150.8384
-30.3091,153.1008
-37.93749,145.1191
-27.48198,153.003
-33.81393,151.1791
-36.826157,145.140245
-32.877139,151.735026
-37.815533,144.971107
-33.774134,150.696418
-38.639686,143.885053
-33.768377,150.853643
-20.679295,140.506428
-27.79358,153.19232
-27.79094,153.34183
-26.31602,152.83034
-38.3341,143.79031
-27.571481,153.012039
-23.375905,150.478192
-34.33479,116.30439
-32.176899,115.840483
-38.20279,144.3107
-27.67645,152.9016
-24.47578,153.0103
-12.063,134.235
-12.05657,134.22667
-33.32185,150.9626
-37.809283,144.963288
-27.104932,151.601704
-31.78405,152.23097
-28.02056,153.36593
-37.025799,149.821924
-33.23556,121.70207
-37.34247,145.28203
-37.14381,141.38547
-35.1221,150.07516
-31.878128,116.136772
-33.813074,151.176325
-38.098938,145.491527
